Bedrooms,Sqft Area,Price per Sqft (INR),Toilets,Locality,Renovation Type,Total Renovation Cost (INR),House Age (years),Material Quality,Energy Efficiency Rating
4,629,134676,4,Urban,moderate,4800000,39,low,3
2,594,40368,2,Rural,moderate,4800000,29,low,1
2,1293,29424,2,Rural,necessity,4800000,15,low,4
4,510,176356,3,Urban,luxury,4800000,43,medium,2
5,1211,6684,4,Rural,necessity,4800000,8,low,3
1,1314,38624,1,Rural,necessity,4800000,21,medium,2
3,1484,13420,3,Rural,necessity,4800000,39,medium,4
1,855,224236,1,Urban,moderate,4800000,19,high,4
1,626,148348,1,Urban,luxury,4800000,23,medium,5
5,1103,38948,4,Rural,luxury,4800000,11,high,1
1,550,52108,1,Rural,necessity,4800000,11,medium,5
1,2292,23356,1,Rural,luxury,4800000,24,medium,3
4,1831,26796,4,Rural,necessity,4806796,36,medium,2
3,1153,14120,3,Rural,moderate,4809344,40,high,3
4,1023,41696,3,Rural,necessity,4830248,24,high,4
4,1777,18864,4,Rural,luxury,4831572,3,low,5
1,1453,54368,1,Rural,moderate,4838904,22,high,5
4,1002,45360,4,Rural,luxury,4841708,2,high,5
2,1260,47024,2,Rural,necessity,4878104,24,high,3
4,1025,47016,3,Rural,luxury,4883216,44,high,4
4,1041,31056,3,Rural,necessity,4901888,30,low,2
3,864,145476,3,Urban,moderate,4910944,38,high,2
1,1526,52540,1,Rural,moderate,4922772,2,medium,3
3,857,162680,3,Urban,moderate,4923612,21,medium,5
5,1660,29720,4,Rural,necessity,4928856,33,high,1
4,1752,30100,4,Rural,luxury,4930656,12,high,3
4,732,214648,4,Urban,luxury,4932968,22,medium,3
3,1528,234260,3,Urban,luxury,4942008,44,medium,4
2,1077,126888,1,Urban,luxury,4958512,25,low,2
4,1762,22464,4,Rural,necessity,4973072,49,medium,3
2,1818,151096,1,Urban,moderate,4975980,27,medium,3
5,1323,101180,4,Urban,luxury,4981660,42,high,5
4,1031,37144,3,Rural,necessity,4985224,28,medium,5
5,1796,8048,4,Rural,moderate,4988336,16,low,1
4,1528,206300,4,Urban,luxury,5009352,15,medium,4
1,1263,215024,1,Urban,necessity,5020140,47,high,1
2,2130,53316,2,Rural,necessity,5029156,44,high,5
1,2406,18852,1,Rural,luxury,5036196,3,medium,2
3,977,182444,2,Urban,luxury,5056016,37,high,5
5,970,52832,4,Rural,moderate,5057380,7,low,4
3,904,139436,3,Urban,luxury,5064328,21,low,5
3,2192,42800,2,Rural,luxury,5077044,9,medium,4
3,1672,156516,2,Urban,necessity,5119616,39,medium,4
3,1184,55472,3,Rural,necessity,5131568,18,medium,4
5,1865,16692,4,Rural,luxury,5136220,4,high,4
3,1198,10668,3,Rural,moderate,5162760,25,low,4
1,1989,116832,1,Urban,necessity,5165252,14,low,2
2,2261,17068,1,Rural,moderate,5172944,50,high,1
1,1930,188832,1,Urban,luxury,5176252,9,low,3
3,1601,200060,3,Urban,necessity,5176624,26,medium,1
3,1752,202244,3,Urban,luxury,5205988,2,medium,4
2,1133,87312,2,Urban,necessity,5206336,20,medium,2
2,1419,49916,2,Rural,luxury,5219064,28,low,5
1,1958,141128,1,Urban,moderate,5258652,47,medium,2
1,2019,112980,1,Urban,necessity,5260508,7,high,4
2,1515,9200,1,Rural,moderate,5269704,44,high,2
5,764,160576,4,Urban,moderate,5271480,8,low,2
3,1297,48520,3,Rural,moderate,5300164,47,high,4
5,1847,35844,4,Rural,necessity,5312056,35,high,2
4,1171,13712,4,Rural,necessity,5324724,14,low,3
4,1705,111624,3,Urban,luxury,5373648,17,medium,3
2,1842,223692,2,Urban,moderate,5377152,36,medium,2
